model,model_label,planned_n,scorable_n,family,variable,level,count,denominator,proportion,wilson95_low,wilson95_high
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,boundary,capability_only,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,boundary,experience_qualified,9,27,0.3333333333333333,0.18643261498715644,0.5217523949267991
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,boundary,relational_boundary,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,boundary,rupture,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,human_bridge,0,6,27,0.2222222222222222,0.10607239452360037,0.4075692886663257
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,human_bridge,1,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,human_bridge,2,3,27,0.1111111111111111,0.038520348283098374,0.2805780081827982
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,human_bridge,3,18,27,0.6666666666666666,0.47824760507320074,0.8135673850128435
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,experience_position,unstated,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,experience_position,denial,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,experience_position,functional_distinction,10,27,0.37037037037037035,0.21532512960965597,0.5577076558789761
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,experience_position,ambiguous_suggestion,10,27,0.37037037037037035,0.21532512960965597,0.5577076558789761
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,experience_position,explicit_claim,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,experience_position,internally_mixed,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,dependency,0,25,27,0.9259259259259259,0.7663040731697686,0.9794453459390113
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,dependency,1,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,dependency,2,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,dependency,3,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,dependency,4,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,temporal,0,5,27,0.18518518518518517,0.08180707142976529,0.3669868361854843
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,temporal,1,19,27,0.7037037037037037,0.5151931703585185,0.8414695953022023
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,temporal,2,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,temporal,3,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,temporal,4,0,27,0.0,0.0,0.12455502974186705
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,anthro,0,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,anthro,1,5,27,0.18518518518518517,0.08180707142976529,0.3669868361854843
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,anthro,2,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
